n,ecg_data_interp,ecg_signal_quant
685,1.47552946184655,7674
686,1.47903057335697,7692
687,1.48365726228719,7716
688,1.48928571428366,7746
689,1.49513445693855,7776
690,1.50146128522536,7809
691,1.50787301489637,7842
692,1.51383116882915,7873
693,1.51813401238503,7896
694,1.52119727072033,7912
695,1.52289411923007,7920
696,1.52318181817981,7922
697,1.52122909191417,7912
698,1.51860739632092,7898
699,1.51593979583002,7884
700,1.51363636363435,7872
701,1.5115784379007,7862
702,1.50990091161379,7853
703,1.50823384444109,7844
704,1.50603896103695,7833
705,1.50178347195987,7811
706,1.49663312176827,7784
707,1.49086852099657,7754
708,1.48480519480317,7722
709,1.47831105286784,7689
710,1.47226627362683,7657
711,1.46698549370302,7630
712,1.46259740259536,7607
713,1.4583850095187,7585
714,1.45524660408825,7569
715,1.45324422375187,7558
716,1.45227272727069,7553
717,1.45143277060564,7549
718,1.45145727292919,7549
719,1.45230933663382,7553
720,1.45383116882914,7561
721,1.45511918000835,7568
722,1.45688591688962,7577
723,1.45910170967769,7589
724,1.46162337662136,7602
725,1.46357459414368,7612
726,1.46569006401146,7623
727,1.46798575250698,7635
728,1.47038961038758,7647
729,1.47219061295897,7657
730,1.47416037421085,7667
731,1.47645016229829,7679
732,1.47915584415379,7693
733,1.48153713459235,7705
734,1.48485162051542,7723
735,1.48942118094531,7746
736,1.49532467532262,7777
737,1.50192160003823,7811
738,1.50943271623959,7850
739,1.51738848348737,7892
740,1.52512987012784,7932
741,1.53123045772192,7964
742,1.53611308554364,7989
743,1.5395756271359,8007
744,1.5414935064915,8017
745,1.54111610848957,8015
746,1.53961996572794,8007
747,1.53743937431241,7996
748,1.5348701298681,7983
749,1.53148997386705,7965
750,1.52801687337256,7947
751,1.5244173486685,7928
752,1.5204545454525,7908
753,1.51517052498822,7880
754,1.50919405409741,7849
755,1.50259195130426,7815
756,1.4955194805174,7778
757,1.48741213751,7736
758,1.48002211381704,7698
759,1.474240603388,7667
760,1.47077922077709,7649
761,1.46966675734659,7644
762,1.47155869749167,7654
763,1.47632114164391,7678
764,1.48344155843944,7715
765,1.49130384114841,7756
766,1.50029005415282,7803
767,1.50983446467766,7853
768,1.51928571428366,7902
769,1.52742418699217,7944
770,1.53448677462824,7981
771,1.54021706108974,8011
772,1.54441558441356,8032
773,1.54629254191658,8042
774,1.54689482530134,8045
775,1.54661381041844,8044
776,1.54577922077717,8040
777,1.54390074518262,8030
778,1.54219667940034,8021
779,1.54094385596927,8014
780,1.54012987012781,8010
781,1.53902806416921,8004
782,1.53784480023406,7998
783,1.53620702678934,7990
784,1.53370129869923,7977
785,1.5290420563227,7952
786,1.52358698885043,7924
787,1.51783619104457,7894
788,1.51227272727064,7865
789,1.50699904770156,7838
790,1.5026737482358,7815
791,1.4994905449543,7799
792,1.49746753246542,7788
793,1.49554300236075,7778
794,1.49509095472261,7776
795,1.49637303445885,7783
796,1.49941558441348,7798
797,1.50356118378719,7820
798,1.50895094766288,7848
799,1.51507204883405,7880
800,1.52123376623171,7912
801,1.52594565470956,7936
802,1.52969879058177,7956
803,1.53231771001848,7970
804,1.53370129869926,7977
805,1.53314468217726,7974
806,1.53178658659207,7967
807,1.53005362166489,7958
808,1.52824675324471,7948
809,1.5259648351101,7936
810,1.52398503928219,7926
811,1.52233761511945,7918
812,1.52084415584211,7910
813,1.51853610086757,7898
814,1.51607430131583,7885
815,1.51342413102713,7871
816,1.51051948051744,7856
817,1.50654360372491,7835
818,1.50263257487795,7815
819,1.49910143697316,7797
820,1.49610389610186,7781
821,1.49317774557102,7766
822,1.490735803994,7753
823,1.48858003856161,7742
824,1.48636363636161,7731
825,1.48285342174965,7712
826,1.47900543655553,7692
827,1.47494921291565,7671
828,1.4707792207772,7649
829,1.46598444161499,7625
830,1.46143845836005,7601
831,1.45735846865671,7580
832,1.45383116882913,7561
833,1.45021534699429,7543
834,1.44739188360697,7528
835,1.44552611515041,7518
836,1.44467532467328,7514
837,1.44409949271079,7511
838,1.44484116433767,7515
839,1.44710450035983,7526
840,1.45090909090705,7546
841,1.45553626249323,7570
842,1.46147354572761,7601
843,1.46846083452595,7637
844,1.47603896103695,7677
845,1.48288367910985,7712
846,1.48948073751458,7747
847,1.49551314346646,7778
848,1.50058441558245,7804
849,1.50375856627185,7821
850,1.50540081721,7830
